Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
43,tt6048596,2020-12-09,2020-12-09,,"The Sinner","The Sinner",https://www.imdb.com/title/tt6048596/,TV Series,7.8,45,2017,"Crime, Drama, Mystery, Thriller",151742,2017-08-02,,8,2020-12-09
44,tt1405406,2020-12-09,2020-12-09,,"The Vampire Diaries","The Vampire Diaries",https://www.imdb.com/title/tt1405406/,TV Series,7.7,43,2009,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",381769,2009-09-10,,5,2021-12-08
45,tt5511582,2020-12-09,2020-12-09,,"Timeless","Timeless",https://www.imdb.com/title/tt5511582/,TV Series,7.6,60,2016,"Action, Adventure, Drama, Sci-Fi",50929,2016-10-03,,5,2021-12-08
46,tt9179616,2020-12-09,2020-12-09,,"Vienna Blood","Vienna Blood",https://www.imdb.com/title/tt9179616/,TV Series,7.6,45,2019,"Crime, Drama, History, Mystery, Thriller",10499,2019-11-18,,4,2021-12-08
47,tt1358522,2020-12-09,2020-12-09,,"White Collar","White Collar",https://www.imdb.com/title/tt1358522/,TV Series,8.2,40,2009,"Comedy, Crime, Drama, Mystery",153168,2009-10-23,,9,2020-12-09
48,tt7335184,2020-12-09,2020-12-09,,"You","You",https://www.imdb.com/title/tt7335184/,TV Series,7.6,45,2018,"Crime, Drama, Romance, Thriller",365315,2018-09-09,,6,2021-12-08
49,tt6226232,2020-12-09,2020-12-09,,"Young Sheldon","Young Sheldon",https://www.imdb.com/title/tt6226232/,TV Series,7.7,30,2017,"Comedy",145757,2017-09-25,,7,2025-09-02
50,tt1632701,2020-12-09,2020-12-09,,"Suits","Suits",https://www.imdb.com/title/tt1632701/,TV Series,8.4,45,2011,"Comedy, Drama",537725,2011-06-23,,7,2021-12-08
51,tt9059760,2020-12-09,2020-12-09,,"Normal People","Normal People",https://www.imdb.com/title/tt9059760/,TV Mini Series,8.4,28,2020,"Drama, Romance",114925,2020-04-29,,9,2026-01-14
52,tt4181172,2020-12-09,2020-12-09,,"Shooter","Shooter",https://www.imdb.com/title/tt4181172/,TV Series,7.5,60,2016,"Action, Drama",45075,2016-11-15,,9,2020-12-09
53,tt6964748,2020-12-09,2020-12-09,,"Alex Rider","Alex Rider",https://www.imdb.com/title/tt6964748/,TV Series,7.5,,2020,"Action, Adventure, Drama, Thriller",19592,2020-11-13,,7,2020-12-09
54,tt4079926,2020-12-09,2020-12-09,,"The Most Dangerous Animal of All","The Most Dangerous Animal of All",https://www.imdb.com/title/tt4079926/,TV Mini Series,6.3,45,2020,"Documentary, Crime",1691,2020-03-06,,6,2020-12-09
55,tt2077823,2020-12-09,2020-12-09,,"Perry Mason","Perry Mason",https://www.imdb.com/title/tt2077823/,TV Series,7.6,60,2020,"Crime, Drama, History",30959,2020-06-21,,5,2021-12-08
56,tt5618256,2020-12-09,2020-12-09,,"Manhunt","Manhunt",https://www.imdb.com/title/tt5618256/,TV Series,8.1,,2017,"Biography, Crime, Drama, Thriller",66850,2017-08-01,,8,2020-12-09
57,tt2085059,2020-12-09,2020-12-09,,"Black Mirror","Black Mirror",https://www.imdb.com/title/tt2085059/,TV Series,8.7,60,2011,"Crime, Drama, Mystery, Sci-Fi, Thriller",734742,2011-12-04,,9,2020-12-09
58,tt3489184,2020-12-09,2020-12-09,,"Constantine","Constantine",https://www.imdb.com/title/tt3489184/,TV Series,7.5,43,2014,"Crime, Drama, Fantasy, Horror, Thriller",58502,2014-10-24,,7,2020-12-09
59,tt10266874,2020-12-09,2020-12-09,,"Helstrom","Helstrom",https://www.imdb.com/title/tt10266874/,TV Series,6.7,50,2020,"Action, Adventure, Drama, Fantasy, Horror",11201,2020-10-16,,7,2020-12-09
60,tt4422836,2020-12-09,2020-12-09,,"Limitless","Limitless",https://www.imdb.com/title/tt4422836/,TV Series,7.6,42,2015,"Comedy, Crime, Drama, Sci-Fi, Thriller",74891,2015-09-22,,7,2020-12-09
61,tt10888876,2020-12-09,2020-12-09,,"Love & Anarchy","Kärlek & anarki",https://www.imdb.com/title/tt10888876/,TV Series,7.3,30,2020,"Comedy, Drama, Romance",13377,2020-11-04,,6,2020-12-09
62,tt10327830,2020-12-09,2020-12-09,,"For Life","For Life",https://www.imdb.com/title/tt10327830/,TV Series,7.6,43,2020,"Biography, Crime, Drama",9918,2020-02-11,,7,2021-02-26
63,tt10614122,2020-12-09,2020-12-09,,"Halifax: Retribution","Halifax: Retribution",https://www.imdb.com/title/tt10614122/,TV Series,6.9,,2020,"Crime, Drama",1350,2020-08-25,,5,2020-12-09
64,tt11656892,2020-12-09,2020-12-09,,"Des","Des",https://www.imdb.com/title/tt11656892/,TV Mini Series,7.6,48,2020,"Biography, Crime, Drama, History, Thriller",24474,2020-10-15,,8,2020-12-09
65,tt4158110,2020-12-09,2020-12-09,,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110/,TV Series,8.5,45,2015,"Crime, Drama, Thriller",465756,2015-06-24,,8,2020-12-09
66,tt10680614,2020-12-10,2020-12-10,,"A Teacher","A Teacher",https://www.imdb.com/title/tt10680614/,TV Mini Series,6.8,25,2020,"Drama",17897,2020-11-10,,7,2020-12-10
67,tt2442560,2020-12-10,2020-12-10,,"Peaky Blinders","Peaky Blinders",https://www.imdb.com/title/tt2442560/,TV Series,8.7,60,2013,"Crime, Drama",769839,2014-09-30,,9,2020-12-10
68,tt6461812,2020-12-10,2020-12-10,,"Deception","Deception",https://www.imdb.com/title/tt6461812/,TV Series,7.4,43,2018,"Crime, Drama, Mystery, Thriller",10608,2018-03-11,,5,2020-12-14
69,tt9307990,2020-12-10,2020-12-10,,"Lincoln Rhyme: Hunt for the Bone Collector","Lincoln Rhyme: Hunt for the Bone Collector",https://www.imdb.com/title/tt9307990/,TV Series,6.8,,2020,"Crime, Drama, Mystery, Thriller",6204,2020-01-01,,4,2020-12-14
70,tt10048342,2020-12-14,2020-12-14,,"The Queen's Gambit","The Queen's Gambit",https://www.imdb.com/title/tt10048342/,TV Mini Series,8.5,60,2020,"Drama",659496,2020-10-23,,6,2021-12-08
71,tt0773262,2020-12-23,2020-12-23,,"Dexter","Dexter",https://www.imdb.com/title/tt0773262/,TV Series,8.6,60,2006,"Crime, Drama, Mystery, Thriller",929486,2006-10-01,,8,2020-12-22
72,tt10069398,2020-12-23,2020-12-23,,"Home for Christmas","Hjem til jul",https://www.imdb.com/title/tt10069398/,TV Series,7.7,29,2019,"Comedy, Drama, Romance",20431,2019-12-05,,5,2020-12-23
73,tt2177461,2021-01-20,2021-01-20,,"A Discovery of Witches","A Discovery of Witches",https://www.imdb.com/title/tt2177461/,TV Series,7.7,45,2018,"Drama, Fantasy, Romance",74627,2019-04-07,,8,2020-12-09
74,tt1043813,2021-01-30,2021-01-30,,"Titans","Titans",https://www.imdb.com/title/tt1043813/,TV Series,7.4,45,2018,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",119372,2018-10-12,,7,2021-01-30
